2024-11-04 17:39:26.907 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.6291863918304443, Gravity-Corrected Acc: -4.355023670196533, Filtered Acc: -4.3662125998657455, Pre-Kalman Displacement: 0.9211265715217222, Post-Kalman Displacement: 0.06, Velocity: 1.0605988085118638, dt: 0.025, Final Depth (cm): 6.0, Kalman State: [0.9211265715217222, -4.366264508548898]
2024-11-04 17:39:26.913 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.7667388916015625, Gravity-Corrected Acc: -3.3200866699218747, Filtered Acc: -3.738537041899423, Pre-Kalman Displacement: 0.7522654714134032, Post-Kalman Displacement: 0.06, Velocity: 0.7290599728722481, dt: 0.019, Final Depth (cm): 6.0, Kalman State: [0.7522654714134032, -3.8696285041272906]
2024-11-04 17:39:26.923 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.1518714427948, Gravity-Corrected Acc: -2.5822457313537597, Filtered Acc: -3.0447622555720253, Pre-Kalman Displacement: 0.560530284477766, Post-Kalman Displacement: 0.06, Velocity: 0.5246989180628449, dt: 0.015, Final Depth (cm): 6.0, Kalman State: [0.560530284477766, -3.2170158975633525]
2024-11-04 17:39:26.938 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.992293357849121, Gravity-Corrected Acc: -2.390752029418945, Filtered Acc: -2.652356119880177, Pre-Kalman Displacement: 0.26564154647944677, Post-Kalman Displacement: 0.06, Velocity: 0.19278821209878116, dt: 0.006, Final Depth (cm): 6.0, Kalman State: [0.26564154647944677, -2.7702880264677914]
2024-11-04 17:39:26.943 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.6046478748321533, Gravity-Corrected Acc: -1.9255774497985838, Filtered Acc: -2.2162889178312213, Pre-Kalman Displacement: 0.30778648594713603, Post-Kalman Displacement: 0.06, Velocity: 0.3266675078070188, dt: 0.011, Final Depth (cm): 6.0, Kalman State: [0.30778648594713603, -2.331880062660902]
2024-11-04 17:39:26.948 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.5364577770233154, Gravity-Corrected Acc: -1.8437493324279783, Filtered Acc: -1.9927651665892756, Pre-Kalman Displacement: 0.19239608747746245, Post-Kalman Displacement: 0.06, Velocity: 0.1655551147323855, dt: 0.006, Final Depth (cm): 6.0, Kalman State: [0.19239608747746245, -2.0635713546668057]
2024-11-04 17:39:26.957 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.357586145401001, Gravity-Corrected Acc: -1.6291033744812011, Filtered Acc: -1.774568091324431, Pre-Kalman Displacement: 0.13977003140679314, Post-Kalman Displacement: 0.06, Velocity: 0.12854426246553674, dt: 0.005, Final Depth (cm): 6.0, Kalman State: [0.13977003140679314, -1.834896381958101]
2024-11-04 17:39:26.958 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.247460961341858, Gravity-Corrected Acc: -1.4969531536102294, Filtered Acc: -1.6079991286959099, Pre-Kalman Displacement: 0.15958122997081403, Post-Kalman Displacement: 0.06, Velocity: 0.1681229821816805, dt: 0.007, Final Depth (cm): 6.0, Kalman State: [0.15958122997081403, -1.6553451451110237]
2024-11-04 17:39:26.959 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.1419249773025513, Gravity-Corrected Acc: -1.3703099727630614, Filtered Acc: -1.465385635136201, Pre-Kalman Displacement: 0.05075849029278787, Post-Kalman Displacement: 0.05075849029278787, Velocity: 0.0224808765011811, dt: 0.001, Final Depth (cm): 5.075849029278786, Kalman State: [0.05075849029278787, -1.5050386367958022]
2024-11-04 17:39:26.974 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.8053436279296875, Gravity-Corrected Acc: -0.9664123535156249, Filtered Acc: -1.1660016661638553, Pre-Kalman Displacement: 0.24083055402615083, Post-Kalman Displacement: 0.06, Velocity: 0.2963125599074358, dt: 0.014, Final Depth (cm): 6.0, Kalman State: [0.24083055402615083, -1.2366339965551318]
2024-11-04 17:39:26.986 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.4314253330230713, Gravity-Corrected Acc: -0.5177103996276855, Filtered Acc: -0.7770269062421534, Pre-Kalman Displacement: 0.08174737093621101, Post-Kalman Displacement: 0.06, Velocity: 0.04038733712865614, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.08174737093621101, -0.8729703578521328]
2024-11-04 17:39:26.991 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.123228058218956, Gravity-Corrected Acc: -0.1478736698627472, Filtered Acc: -0.3995349644145097, Pre-Kalman Displacement: 0.21658355440708996, Post-Kalman Displacement: 0.06, Velocity: 0.25487003917699663, dt: 0.013, Final Depth (cm): 6.0, Kalman State: [0.21658355440708996, -0.4982637668874443]
2024-11-04 17:39:26.993 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 0.805198073387146, Gravity-Corrected Acc: 0.9662376880645751, Filtered Acc: 0.4199286270729412, Pre-Kalman Displacement: 0.1224677162924803, Post-Kalman Displacement: 0.06, Velocity: 0.09807792230164487, dt: 0.005, Final Depth (cm): 6.0, Kalman State: [0.1224677162924803, 0.2282682358380827]
2024-11-04 17:39:26.998 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.09215635061264038, Gravity-Corrected Acc: -0.11058762073516845, Filtered Acc: 0.10161887838807543, Pre-Kalman Displacement: 0.05710182054553875, Post-Kalman Displacement: 0.05710182054553875, Velocity: 0.03975271642611892, dt: 0.002, Final Depth (cm): 5.710182054553875, Kalman State: [0.05710182054553875, 0.12804571380201216]
2024-11-04 17:39:27.015 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.769160270690918, Gravity-Corrected Acc: -4.522992324829102, Filtered Acc: -2.673147843542231, Pre-Kalman Displacement: 0.3047257692023806, Post-Kalman Displacement: 0.06, Velocity: 0.3718118746096481, dt: 0.02, Final Depth (cm): 6.0, Kalman State: [0.3047257692023806, -2.088282032259233]
2024-11-04 17:39:27.021 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -7.657747268676758, Gravity-Corrected Acc: -9.18929672241211, Filtered Acc: -6.582837170864158, Pre-Kalman Displacement: 0.08437948150418362, Post-Kalman Displacement: 0.06, Velocity: 0.027925202446558377, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.08437948150418362, -5.644795251738698]
2024-11-04 17:39:27.022 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -12.397843360900879, Gravity-Corrected Acc: -14.877412033081054, Filtered Acc: -11.559582088194295, Pre-Kalman Displacement: 0.030027885554141702, Post-Kalman Displacement: 0.030027885554141702, Velocity: 0.024456957968749922, dt: 0.005, Final Depth (cm): 3.00278855541417, Kalman State: [0.030027885554141702, -10.32509887336931]
2024-11-04 17:39:27.024 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -16.68390464782715, Gravity-Corrected Acc: -20.020685577392577, Filtered Acc: -16.636244181713263, Pre-Kalman Displacement: -0.013096430908563144, Post-Kalman Displacement: -0.013096430908563144, Velocity: -0.018413043082407637, dt: 0.002, Final Depth (cm): -1.3096430908563144, Kalman State: [-0.013096430908563144, -15.319033368778715]
2024-11-04 17:39:27.025 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -17.03887367248535, Gravity-Corrected Acc: -20.446648406982423, Filtered Acc: -18.922486716874758, Pre-Kalman Displacement: -0.02742049397694046, Post-Kalman Displacement: -0.02742049397694046, Velocity: -0.02698588699049783, dt: 0.001, Final Depth (cm): -2.742049397694046, Kalman State: [-0.02742049397694046, -18.170402127870393]
2024-11-04 17:39:27.030 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -15.513869285583496, Gravity-Corrected Acc: -18.616643142700195, Filtered Acc: -18.738980572370018, Pre-Kalman Displacement: -0.1259222933308862, Post-Kalman Displacement: -0.06, Velocity: -0.13744986190536046, dt: 0.003, Final Depth (cm): -6.0, Kalman State: [-0.1259222933308862, -18.620317143477667]
2024-11-04 17:39:27.031 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -10.918336868286133, Gravity-Corrected Acc: -13.102004241943359, Filtered Acc: -15.356794774114022, Pre-Kalman Displacement: -0.18681973250039705, Post-Kalman Displacement: -0.06, Velocity: -0.18859352492508652, dt: 0.003, Final Depth (cm): -6.0, Kalman State: [-0.18681973250039705, -16.037932477922073]
2024-11-04 17:39:27.033 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.14629682898521423, Gravity-Corrected Acc: -0.17555619478225706, Filtered Acc: -6.248051626514963, Pre-Kalman Displacement: -0.1002471028955631, Post-Kalman Displacement: -0.06, Velocity: -0.07366693150867673, dt: 0.001, Final Depth (cm): -6.0, Kalman State: [-0.1002471028955631, -8.291313767960155]
2024-11-04 17:39:27.034 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 10.428081512451172, Gravity-Corrected Acc: 12.513697814941406, Filtered Acc: 5.0089980383588575, Pre-Kalman Displacement: -0.14100813705827162, Post-Kalman Displacement: -0.06, Velocity: -0.14857291660550956, dt: 0.002, Final Depth (cm): -6.0, Kalman State: [-0.14100813705827162, 2.233058765802607]
2024-11-04 17:39:27.036 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 12.267353057861328, Gravity-Corrected Acc: 14.720823669433592, Filtered Acc: 10.836093417003699, Pre-Kalman Displacement: -0.08115398680075481, Post-Kalman Displacement: -0.06, Velocity: -0.0663639125750735, dt: 0.001, Final Depth (cm): -6.0, Kalman State: [-0.08115398680075481, 9.040538188278777]
2024-11-04 17:39:27.038 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 12.821455001831055, Gravity-Corrected Acc: 15.385746002197266, Filtered Acc: 13.565884968119839, Pre-Kalman Displacement: -0.1393772763068214, Post-Kalman Displacement: -0.06, Velocity: -0.16248877014753502, dt: 0.003, Final Depth (cm): -6.0, Kalman State: [-0.1393772763068214, 12.621378467453134]
2024-11-04 17:39:27.041 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 65.35115051269531, Gravity-Corrected Acc: 78.42138061523437, Filtered Acc: 52.479182356388556, Pre-Kalman Displacement: -0.05434741570035446, Post-Kalman Displacement: -0.05434741570035446, Velocity: -0.04228077944051507, dt: 0.002, Final Depth (cm): -5.434741570035446, Kalman State: [-0.05434741570035446, 44.160378469733736]
2024-11-04 17:39:27.042 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 4.336658000946045, Gravity-Corrected Acc: 5.2039896011352536, Filtered Acc: 24.114066703236578, Pre-Kalman Displacement: 0.0327955389428288, Post-Kalman Displacement: -0.004347415700354455, Velocity: 0.03431246961911007, dt: 0.002, Final Depth (cm): -0.43474157003544556, Kalman State: [0.0327955389428288, 28.297976131106964]
2024-11-04 17:39:27.044 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -22.909832000732422, Gravity-Corrected Acc: -27.491798400878906, Filtered Acc: -6.849452359232712, Pre-Kalman Displacement: 0.03183516690090869, Post-Kalman Displacement: 0.03183516690090869, Velocity: 0.025788541981556966, dt: 0.001, Final Depth (cm): 3.1835166900908693, Kalman State: [0.03183516690090869, 0.4862420470102258]
2024-11-04 17:39:27.047 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 6.973006725311279, Gravity-Corrected Acc: 8.367608070373535, Filtered Acc: 2.280783898531036, Pre-Kalman Displacement: 0.04417119768703305, Post-Kalman Displacement: 0.04417119768703305, Velocity: 0.047008415502412255, dt: 0.002, Final Depth (cm): 4.417119768703305, Kalman State: [0.04417119768703305, 1.9062421647033057]
2024-11-04 17:39:27.049 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.03458838537335396, Gravity-Corrected Acc: -0.041506062448024746, Filtered Acc: 0.8874099219435995, Pre-Kalman Displacement: 0.09007519049254145, Post-Kalman Displacement: 0.06, Velocity: 0.10035321864577378, dt: 0.004, Final Depth (cm): 6.0, Kalman State: [0.09007519049254145, 1.100059534582981]
