2024-11-04 17:35:04.888 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 2.5195202827453613, Gravity-Corrected Acc: 3.0234243392944333, Filtered Acc: 2.857763488147577, Velocity: 0.49697714809095583, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:04.897 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 2.506181240081787, Gravity-Corrected Acc: 3.0074174880981444, Filtered Acc: 2.9475558881179174, Velocity: 0.4734033704750551, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:04.909 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 1.8776754140853882, Gravity-Corrected Acc: 2.2532104969024656, Filtered Acc: 2.5309486533886463, Velocity: 0.6087358944477982, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:04.917 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.9046679735183716, Gravity-Corrected Acc: 1.085601568222046, Filtered Acc: 1.6637404022886861, Velocity: 0.5169327416623827, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:04.928 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.006918055005371571, Gravity-Corrected Acc: -0.008301666006445885, Filtered Acc: 0.6605151613116069, Velocity: 0.6445900898538252, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:04.938 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.8677870035171509, Gravity-Corrected Acc: -1.041344404220581, Filtered Acc: -0.36060057800770584, Velocity: 0.5874905636927237, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:04.951 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.520888090133667, Gravity-Corrected Acc: -1.8250657081604003, Filtered Acc: -1.2392796560993224, Velocity: 0.7533385112788454, dt: 0.013, Displacement (cm): 6.0
2024-11-04 17:35:04.958 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.845252275466919, Gravity-Corrected Acc: -2.2143027305603025, Filtered Acc: -1.8242935007759105, Velocity: 0.3949213077164686, dt: 0.007, Displacement (cm): 6.0
2024-11-04 17:35:04.967 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.7248497009277344, Gravity-Corrected Acc: -2.069819641113281, Filtered Acc: -1.9716091849783326, Velocity: 0.4906744049781374, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:04.978 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.3796141147613525, Gravity-Corrected Acc: -1.655536937713623, Filtered Acc: -1.781965836619507, Velocity: 0.5790684990211578, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:04.988 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.8188233375549316, Gravity-Corrected Acc: -0.9825880050659179, Filtered Acc: -1.3023391376873534, Velocity: 0.5110043833295177, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:04.997 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.425160676240921, Gravity-Corrected Acc: -0.5101928114891052, Filtered Acc: -0.8270513419684046, Velocity: 0.4503216878381154, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.011 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.26421114802360535, Gravity-Corrected Acc: -0.3170533776283264, Filtered Acc: -0.5210525633643577, Velocity: 0.6417019848259481, dt: 0.013, Displacement (cm): 6.0
