WARNING: Logcat was not cleared on the device itself because 'logcat -c' timed out.
2024-11-04 17:39:35.363 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -4.31505823135376, Gravity-Corrected Acc: -5.1780698776245115, Filtered Acc: -5.069665080299575, Pre-Kalman Displacement: -0.5409979128526082, Post-Kalman Displacement: -0.06, Velocity: -0.5211467237656084, dt: 0.009, Final Depth (cm): -6.0, Kalman State: [-0.5409979128526082, -5.030606071726581]
2024-11-04 17:39:35.373 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.678257942199707, Gravity-Corrected Acc: -4.413909530639648, Filtered Acc: -4.676211750503619, Pre-Kalman Displacement: -0.6200409471825017, Post-Kalman Displacement: -0.06, Velocity: -0.6277812994491362, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-0.6200409471825017, -4.750191472815125]
2024-11-04 17:39:35.384 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.758074998855591, Gravity-Corrected Acc: -3.309689998626709, Filtered Acc: -3.856298699377473, Pre-Kalman Displacement: -0.6695163008960542, Post-Kalman Displacement: -0.06, Velocity: -0.6704438516985416, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-0.6695163008960542, -4.0428666105634665]
2024-11-04 17:39:35.393 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.76145601272583, Gravity-Corrected Acc: -3.313747215270996, Filtered Acc: -3.5307678089135868, Pre-Kalman Displacement: -0.7077301351931152, Post-Kalman Displacement: -0.06, Velocity: -0.7073791842399969, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-0.7077301351931152, -3.6376484606170307]
2024-11-04 17:39:35.403 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.554652690887451, Gravity-Corrected Acc: -4.265583229064942, Filtered Acc: -3.9716570610043993, Pre-Kalman Displacement: -0.7448479082967657, Post-Kalman Displacement: -0.06, Velocity: -0.7448913085895869, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-0.7448479082967657, -3.901945472531321]
2024-11-04 17:39:35.414 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -4.06919527053833, Gravity-Corrected Acc: -4.883034324645996, Filtered Acc: -4.518483419189357, Pre-Kalman Displacement: -0.8499763566716033, Post-Kalman Displacement: -0.06, Velocity: -0.8660762120896108, dt: 0.011, Final Depth (cm): -6.0, Kalman State: [-0.8499763566716033, -4.38983489875938]
2024-11-04 17:39:35.423 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.602459669113159, Gravity-Corrected Acc: -4.322951602935791, Filtered Acc: -4.401164329437218, Pre-Kalman Displacement: -0.8448706168205683, Post-Kalman Displacement: -0.06, Velocity: -0.8319402497336885, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-0.8448706168205683, -4.398777318932983]
2024-11-04 17:39:35.436 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.7465689182281494, Gravity-Corrected Acc: -4.4958827018737795, Filtered Acc: -4.457995352899155, Pre-Kalman Displacement: -1.0194037635373199, Post-Kalman Displacement: -0.06, Velocity: -1.0514832577744417, dt: 0.012, Final Depth (cm): -6.0, Kalman State: [-1.0194037635373199, -4.44570182644642]
2024-11-04 17:39:35.444 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.674776554107666, Gravity-Corrected Acc: -4.409731864929199, Filtered Acc: -4.429037260117181, Pre-Kalman Displacement: -0.8029920462512481, Post-Kalman Displacement: -0.06, Velocity: -0.736536968968362, dt: 0.008, Final Depth (cm): -6.0, Kalman State: [-0.8029920462512481, -4.432421601644254]
2024-11-04 17:39:35.453 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -5.20283317565918, Gravity-Corrected Acc: -6.243399810791016, Filtered Acc: -5.5176547905214814, Pre-Kalman Displacement: -0.9451030012766484, Post-Kalman Displacement: -0.06, Velocity: -0.9704046714636454, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-0.9451030012766484, -5.291196755146117]
2024-11-04 17:39:35.465 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -7.01739501953125, Gravity-Corrected Acc: -8.4208740234375, Filtered Acc: -7.259586330271093, Pre-Kalman Displacement: -1.0274289023359102, Post-Kalman Displacement: -0.06, Velocity: -1.0342908770676082, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.0274289023359102, -6.848771295493919]
2024-11-04 17:39:35.475 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -11.294801712036133, Gravity-Corrected Acc: -13.553762054443359, Filtered Acc: -11.036091764774453, Pre-Kalman Displacement: -1.1210477734567486, Post-Kalman Displacement: -0.06, Velocity: -1.125769267542836, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.1210477734567486, -10.162155130498466]
2024-11-04 17:39:35.485 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -14.101162910461426, Gravity-Corrected Acc: -16.92139549255371, Filtered Acc: -14.567274001442009, Pre-Kalman Displacement: -1.248879282133248, Post-Kalman Displacement: -0.06, Velocity: -1.2537860963739182, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.248879282133248, -13.647880507670656]
2024-11-04 17:39:35.495 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -10.319709777832031, Gravity-Corrected Acc: -12.383651733398438, Filtered Acc: -13.257100640615867, Pre-Kalman Displacement: -1.3911914114633643, Post-Kalman Displacement: -0.06, Velocity: -1.3929079695842077, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.3911914114633643, -13.33866412293751]
2024-11-04 17:39:35.505 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 0.012260041199624538, Gravity-Corrected Acc: 0.014712049439549445, Filtered Acc: -5.2940130265826175, Pre-Kalman Displacement: -1.4908861811670449, Post-Kalman Displacement: -0.06, Velocity: -1.4856635379202001, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.4908861811670449, -6.973020683101069]
2024-11-04 17:39:35.515 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 9.764891624450684, Gravity-Corrected Acc: 11.71786994934082, Filtered Acc: 4.913116758971444, Pre-Kalman Displacement: -1.4985302915291083, Post-Kalman Displacement: -0.06, Velocity: -1.4875680192582559, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.4985302915291083, 2.432354020264601]
